Scheduler,Benchmark,Turnaround_Time,Turnaround_Time_SD,Waiting_Time,Waiting_Time_SD,Response_Time,Response_Time_SD,Total_Run_Time,Total_Run_Time_SD,Context_Switches,Context_Switches_SD,CPU_Share,CPU_Share_SD
RR,short_io,355848.67,,264,,1.67,,355197.33,,589.33,,99,
RR,long_io,3408661.00,,2661.33,,1.33,,3402406.67,,5612.33,,99,
RR,short_cpu,6237.00,,3.33,,1,,6228.00,,9.67,,99,
RR,long_cpu_child,24968,1339.082107,6036.416667,1402.14852,409.5833333,246.8654417,18929.91667,82.79934469,19.58333333,0.3191423693,75.50,4.426352064
RR,cpu_io_child,1975756.467,714659.9004,1689262.933,699421.6855,24.8,2.79858871,277262.7667,16243.98329,8011.6,2836.346114,15.73,7.332996625
RR,stress_child,62595.40625,3834.934953,56453.95833,3810.931347,7649.90625,4084.513514,6140.041667,77.85308055,7.104166667,0.3535533906,9.34,0.6955278288
FIFO,short_io,389854.33,,53.67,,1,,389389.33,,823,,99,
FIFO,long_io,3730047.67,,441.67,,1,,3725495.67,,5860,,99,
FIFO,short_cpu,9579.33,,0,,1,,9576.67,,1.67,,99,
FIFO,long_cpu_child,23220.75,9254.534558,4630,9258.44447,4630.916667,9258.72224,18589.5,82.18700447,1,0,86.75,24.5
FIFO,cpu_io_child,1734639.4,747539.9009,357550.4667,303139.8538,2.533333333,2.347575582,474236.7667,19565.64204,1213632,596337.3631,32.67,16.10766247
FIFO,stress_child,35901.03125,19292.99553,29752.44792,19257.64343,29752.92708,19257.5957,6147.135417,96.93599334,6.875,0.5202012293,27.57,26.18602248
EEVDF,short_io,335190.33,,107,,1.33,,334750.00,,1137.33,,99,
EEVDF,long_io,3290820.33,,1004.67,,3,,3286446.67,,10986.67,,99,
EEVDF,short_cpu,10105.33,,0.67,,1.33,,10096.00,,24.67,,99,
EEVDF,long_cpu_child,25733.08333,324.8744914,6561.916667,203.4266407,311.8333333,121.1624254,19419.83333,385.0314561,40,1.539600718,74.50,1.551582227
EEVDF,cpu_io_child,2295384,508162.0001,2008170.133,496538.3547,18.13333333,3.194130419,280869.5667,13802.94506,8776.866667,1967.251339,12.37,3.518732937
EEVDF,stress_child,66273.75,1088.377442,59954.77083,1041.704952,4905.53125,1815.86739,11532.34375,2897.959891,14.5625,1.098834508,16.97,4.694509395
